#{"t_start": 1699569896.4480276, "env_id": "Pendulum-v1"}
r,l,t
-1278.713429,200,0.321348
-1296.124879,200,0.577701
-1615.495379,200,0.848048
-1536.657035,200,1.124112
-1166.650821,200,1.365257
-909.931715,200,1.635765
-887.176148,200,1.913716
-1674.552242,200,2.182662
-1752.421577,200,2.426669
-867.468677,200,2.68665
-923.371901,200,8.206578
-1345.783755,200,8.461598
-1180.543492,200,8.704748
-866.361094,200,8.952329
-842.999717,200,9.202646
-760.390737,200,9.457705
-854.877038,200,9.728309
-821.712627,200,9.995954
-1234.901231,200,10.237813
-1366.726419,200,10.478627
-873.196699,200,16.465324
-958.029111,200,16.70077
-1311.214753,200,16.942492
-1223.869554,200,17.193129
-1473.215986,200,17.437017
-916.871366,200,17.717877
-1440.58244,200,17.998609
-1206.393604,200,18.348004
-882.394883,200,18.66194
-1747.847415,200,18.936272
-964.052833,200,24.929164
-955.807045,200,25.206248
-1526.186238,200,25.497836
-1624.659759,200,25.765196
-1654.469504,200,26.032768
-1030.909782,200,26.325958
-749.574055,200,26.627029
-1294.190984,200,26.893735
-1734.075451,200,27.163314
-1632.673253,200,27.459379
-1188.706091,200,33.851366
-1084.939703,200,34.13606
-857.753254,200,34.372135
-950.838342,200,34.657553
-1335.631256,200,34.889007
-939.067481,200,35.143398
-999.970429,200,35.394775
-1245.503408,200,35.624768
-1401.560802,200,35.853699
-1578.504212,200,36.081581
-999.200939,200,36.320683
-1367.102333,200,41.725221
-926.696457,200,42.025538
-1097.635277,200,42.350753
-870.841765,200,42.641861
-1277.340687,200,42.943686
-905.367397,200,43.249089
-894.84068,200,43.491395
-1056.261709,200,43.749348
-1489.260196,200,44.059394
-1384.69588,200,44.345539
-1361.268856,200,50.481687
-1190.887876,200,50.749923
-1034.623023,200,50.994498
-973.579316,200,51.243972
-1407.033339,200,51.530725
-863.907144,200,51.775375
-745.407343,200,52.058558
-1093.797886,200,52.32953
-938.32292,200,52.618289
-1096.069,200,52.881857
-982.849149,200,58.92587
-987.087129,200,59.157658
-1257.366437,200,59.415855
-1091.82371,200,59.674289
-903.659782,200,59.920228
-1076.435267,200,60.155987
-1674.870246,200,60.38409
-1210.637951,200,60.624069
-1395.975506,200,60.857121
-1123.141143,200,61.083047
-1625.676765,200,66.795931
-1570.332213,200,67.121629
-1154.932077,200,67.381931
-1088.794254,200,67.636875
-1232.840972,200,67.962974
-1119.674816,200,68.196638
-1659.809513,200,68.428282
-1064.780003,200,68.729377
-1227.870214,200,68.979951
-1413.166173,200,69.258323
-1593.112368,200,69.48862
-1042.658005,200,74.638571
-1591.273355,200,74.897805
-1096.207717,200,75.129897
-1297.745147,200,75.363302
-1179.122081,200,75.609889
-751.568293,200,75.841346
-1100.278962,200,76.072755
-1181.253329,200,76.305874
-1521.259566,200,76.546182
-1317.483669,200,76.789905
-1395.444882,200,82.175408
-1517.630455,200,82.435089
-1116.945332,200,82.674776
-1044.824075,200,82.90539
-898.6742,200,83.136946
-1165.804918,200,83.437495
-784.647914,200,83.667933
-899.029849,200,83.928673
-867.103414,200,84.166855
-1343.827542,200,84.401722
-902.110499,200,89.996569
-1523.196138,200,90.271662
-875.785933,200,90.515719
-781.29088,200,90.759237
-958.985833,200,90.994848
-775.18652,200,91.24
-1014.424756,200,91.489755
-1225.854195,200,91.725023
-1280.049013,200,91.948982
-1124.94695,200,92.244507
-1106.888701,200,97.745612
-959.544373,200,98.021929
-1194.297682,200,98.276019
-954.939826,200,98.529007
-1250.622561,200,98.755818
-1014.925274,200,99.011714
-814.440442,200,99.249081
-1115.713575,200,99.489638
-1043.216501,200,99.728425
-1507.994767,200,99.983534
-1122.311258,200,100.239228
-1011.23669,200,105.711239
-1389.076169,200,105.985934
-885.252645,200,106.238554
-1197.768735,200,106.473375
-994.379871,200,106.74609
-889.660612,200,107.011878
-1025.31004,200,107.256683
-1564.970881,200,107.514338
-981.410904,200,107.797502
-1007.95099,200,108.072798
-1128.293648,200,113.084983
-1046.03647,200,113.324639
-1242.893719,200,113.577484
-1388.772756,200,113.813632
-1390.690521,200,114.046035
-1209.179126,200,114.28864
-1010.548008,200,114.536142
-942.05003,200,114.807544
-883.58415,200,115.066473
-1065.519069,200,115.37209
-915.290645,200,120.95048
-1077.050465,200,121.266345
-1083.11546,200,121.607577
-1186.347609,200,121.939175
-991.092274,200,122.255008
-1017.130406,200,122.571968
-1073.753013,200,122.847127
-1039.149432,200,123.206766
-1251.013824,200,123.524506
-1043.434111,200,123.825275
-1123.364463,200,130.253817
-1257.564194,200,130.543351
-1188.864657,200,130.787642
-1237.476716,200,131.037273
-1000.130371,200,131.279953
-1172.902939,200,131.544761
-1261.711363,200,131.805968
-1100.488673,200,132.080495
-1064.608666,200,132.39074
-1163.153991,200,132.718868
-1068.009618,200,133.043001
-1052.479986,200,139.098022
-1135.52607,200,139.35869
-869.910399,200,139.604339
-1037.892417,200,139.84224
-1020.486435,200,140.079944
-1205.580266,200,140.316911
-898.05848,200,140.562974
-1233.863719,200,140.800607
-1040.352963,200,141.034977
-1035.533404,200,141.279941
-992.492469,200,146.885184
-1044.88344,200,147.163483
-1212.244729,200,147.428571
-751.110581,200,147.747402
-1145.586786,200,148.096509
-1153.431149,200,148.357899
-1156.616573,200,148.610452
-799.20898,200,148.903467
-762.43372,200,149.168825
-911.193117,200,149.401433
-1273.733594,200,155.135501
-877.186095,200,155.425339
-864.774971,200,155.671373
-770.39069,200,155.927572
-1243.763218,200,156.200164
-763.42264,200,156.445037
-1214.012311,200,156.67665
-877.125303,200,156.913512
-1000.194704,200,157.168773
-903.074528,200,157.415151
-750.005699,200,162.660809
-994.190394,200,162.93602
-1117.763544,200,163.178024
-761.212688,200,163.422832
-793.238699,200,163.655641
-862.820427,200,163.886084
-898.094672,200,164.118623
