id,category
0,6
1,9
2,9
3,3
4,5
5,9
6,6
7,2
8,3
9,1
10,8
11,1
12,5
13,5
14,7
15,8
16,5
17,4
18,9
19,4
20,4
21,4
22,0
23,9
24,4
25,6
26,6
27,9
28,9
29,6
30,6
31,3
32,2
33,2
34,9
35,5
36,3
37,9
38,1
39,5
40,4
41,6
42,9
43,6
44,1
45,1
46,3
47,0
48,7
49,6
50,9
51,1
52,5
53,9
54,8
55,8
56,5
57,6
58,7
59,4
60,4
61,5
62,5
63,9
64,6
65,7
66,1
67,8
68,9
69,9
70,4
71,7
72,4
73,8
74,4
75,4
76,9
77,1
78,6
79,4
80,8
81,5
82,1
83,3
84,0
85,9
86,0
87,3
88,8
89,9
90,2
91,5
92,8
93,6
94,6
95,3
96,2
97,0
98,4
99,4
100,7
101,4
102,5
103,2
104,1
105,1
106,5
107,6
108,3
109,5
110,5
111,2
112,2
113,2
114,9
115,4
116,3
117,9
118,6
119,5
120,8
121,6
122,8
123,4
124,4
125,0
126,8
127,5
128,5
129,7
130,4
131,3
132,9
133,4
134,4
135,2
136,8
137,7
138,6
139,1
140,2
141,8
142,4
143,5
144,2
145,2
146,6
147,4
148,5
149,5
150,9
151,7
152,6
153,0
154,6
155,5
156,4
157,8
158,5
159,0
160,0
161,6
162,5
163,6
164,9
165,7
166,3
167,6
168,5
169,9
170,4
171,7
172,1
173,8
174,9
175,9
176,8
177,6
178,3
179,9
180,3
181,7
182,7
183,1
184,7
185,3
186,6
187,8
188,4
189,0
190,4
191,8
192,3
193,5
194,5
195,6
196,0
197,3
198,0
199,5
200,7
201,9
202,8
203,0
204,1
205,3
206,8
207,5
208,4
209,1
210,2
211,9
212,4
213,9
214,9
215,4
216,1
217,9
218,4
219,7
220,4
221,6
222,9
223,6
224,9
225,9
226,9
227,2
228,4
229,2
230,6
231,1
232,6
233,6
234,1
235,0
236,6
237,9
238,4
239,4
240,1
241,8
242,9
243,8
244,8
245,6
246,4
247,3
248,5
249,5
250,7
251,5
252,8
253,9
254,7
255,0
256,6
257,3
258,9
259,5
260,3
261,1
262,6
263,2
