id,category
0,3
1,8
2,8
3,2
4,4
5,5
6,1
7,6
8,5
9,1
10,8
11,1
12,1
13,0
14,5
15,8
16,7
17,9
18,8
19,4
20,9
21,0
22,0
23,0
24,4
25,5
26,6
27,0
28,1
29,6
30,1
31,4
32,2
33,6
34,9
35,1
36,6
37,9
38,8
39,0
40,8
41,6
42,2
43,6
44,1
45,9
46,3
47,9
48,4
49,6
50,9
51,1
52,6
53,6
54,8
55,8
56,2
57,8
58,7
59,5
60,7
61,6
62,3
63,9
64,3
65,7
66,8
67,8
68,3
69,1
70,2
71,5
72,5
73,8
74,0
75,2
76,9
77,1
78,1
79,9
80,8
81,1
82,1
83,3
84,0
85,9
86,0
87,8
88,0
89,8
90,9
91,6
92,8
93,6
94,7
95,2
96,5
97,0
98,5
99,2
100,4
101,4
102,8
103,9
104,9
105,1
106,5
107,9
108,3
109,8
110,6
111,5
112,2
113,3
114,9
115,4
116,3
117,0
118,3
119,1
120,8
121,4
122,1
123,2
124,0
125,1
126,8
127,3
128,4
129,9
130,4
131,1
132,9
133,7
134,5
135,2
136,1
137,0
138,6
139,0
140,7
141,2
142,1
143,8
144,2
145,0
146,0
147,6
148,0
149,7
150,1
151,4
152,1
153,0
154,3
155,3
156,5
157,9
158,3
159,0
160,0
161,1
162,2
163,6
164,0
165,7
166,8
167,4
168,5
169,8
170,9
171,7
172,1
173,8
174,9
175,9
176,8
177,6
178,3
179,9
180,1
181,7
182,5
183,7
184,7
185,0
186,5
187,7
188,6
189,8
190,8
191,3
192,2
193,5
194,5
195,1
196,9
197,0
198,0
199,7
200,3
201,9
202,0
203,2
204,5
205,5
206,8
207,4
208,7
209,0
210,6
211,1
212,0
213,7
214,7
215,1
216,7
217,9
218,0
219,7
220,4
221,6
222,9
223,3
224,1
225,9
226,9
227,2
228,3
229,2
230,7
231,9
232,7
233,7
234,8
235,0
236,3
237,8
238,3
239,4
240,0
241,8
242,2
243,8
244,8
245,2
246,4
247,0
248,5
249,9
250,7
251,1
252,8
253,9
254,7
255,7
256,0
257,8
258,8
259,5
260,8
261,7
262,2
263,5
264,0
265,8
266,8
267,2
268,7
269,0
270,2
271,6
272,7
273,2
274,9
275,5
276,9
277,4
278,6
279,8
280,9
281,7
282,3
283,1
284,9
285,1
286,8
287,9
288,2
289,9
290,1
291,6
292,5
293,8
294,3
295,6
296,5
297,0
298,8
299,6
300,6
301,6
302,0
303,0
304,6
305,8
306,9
307,7
308,2
309,6
310,8
311,9
312,0
313,0
314,3
315,0
316,1
317,2
318,5
319,3
320,5
321,3
322,2
323,7
324,3
325,9
326,7
327,7
328,9
329,8
330,6
331,1
332,6
333,6
334,2
335,6
336,2
337,8
338,0
339,0
340,6
341,5
342,8
343,0
344,9
345,3
346,7
347,5
348,2
349,8
350,9
351,1
352,9
353,8
354,0
355,7
356,5
357,9
358,1
359,1
360,9
361,5
362,8
363,8
364,9
365,3
366,6
367,8
368,2
369,6
370,1
371,4
372,0
373,7
374,2
375,7
376,9
377,0
378,3
379,6
380,2
381,9
382,3
383,9
384,2
385,8
386,7
387,4
388,0
389,5
390,8
391,8
392,6
393,1
394,7
395,2
396,6
397,5
398,9
399,9
400,6
401,1
402,2
403,0
404,9
405,4
406,2
407,8
408,8
409,8
410,3
411,3
412,7
413,4
414,5
415,1
416,0
417,9
418,0
419,7
420,2
421,3
422,0
423,2
424,2
425,8
426,5
427,3
428,6
429,0
430,1
431,5
432,5
433,6
434,5
435,7
436,5
437,7
438,3
439,5
440,6
441,1
442,9
443,9
444,5
445,2
446,5
447,0
448,3
449,9
450,9
451,1
452,7
453,3
454,9
455,2
456,2
457,4
458,6
459,8
460,6
461,1
462,1
463,6
464,0
465,6
466,6
467,8
468,4
469,5
470,4
471,3
472,8
473,2
474,5
475,2
476,4
477,0
478,2
479,2
480,9
481,2
482,8
483,1
484,2
485,1
486,0
487,9
488,5
489,0
490,8
491,4
492,0
493,7
494,8
495,8
496,6
497,3
498,9
499,0
500,6
501,6
502,4
503,4
504,1
505,2
506,1
507,7
508,1
509,4
510,0
511,6
512,4
513,9
514,3
515,8
516,8
517,9
518,9
519,0
520,8
521,7
522,9
523,8
524,9
525,8
526,1
527,5
528,0
529,4
530,1
531,9
532,9
533,8
534,6
535,6
536,6
537,5
538,9
539,9
540,9
541,9
542,6
543,5
544,7
545,9
546,5
547,5
548,6
549,5
550,3
551,1
552,0
553,3
554,1
555,8
556,6
557,4
558,3
559,5
560,1
561,7
562,2
563,6
564,4
565,8
566,2
567,3
568,6
569,4
570,6
571,7
572,1
573,3
574,3
575,6
576,9
577,8
578,9
579,0
580,2
581,7
582,8
583,2
584,5
585,0
586,2
587,7
588,8
589,6
590,6
591,1
592,5
593,6
594,8
595,1
596,7
597,5
598,1
599,6
600,2
601,5
602,0
603,2
604,1
605,5
606,8
607,5
608,3
609,9
610,3
611,3
612,8
613,0
614,4
615,5
616,6
617,3
618,9
619,1
620,7
621,5
622,1
623,4
624,7
625,9
626,9
627,6
628,3
629,7
630,9
631,7
632,6
633,2
634,7
635,2
636,9
637,0
638,8
639,6
640,7
641,6
642,0
643,5
644,7
645,1
646,6
647,2
648,3
649,4
650,6
651,9
652,7
653,6
654,1
655,0
656,9
657,4
658,6
659,6
660,1
661,7
662,7
663,6
664,5
665,1
666,5
667,8
668,9
669,4
670,5
671,3
672,5
673,3
674,3
675,9
676,6
677,1
678,2
679,0
680,9
681,6
682,9
683,3
684,9
685,3
686,1
687,5
688,3
689,6
690,3
691,0
692,0
693,7
694,8
695,5
696,0
697,6
698,7
699,7
700,9
701,8
702,3
703,1
704,5
705,4
706,3
707,5
708,9
709,9
710,4
711,8
712,0
713,7
714,5
715,1
716,6
717,7
718,7
719,8
720,9
721,0
722,8
723,1
724,9
725,8
726,9
727,4
728,6
729,5
730,6
731,2
732,7
733,6
734,3
735,2
736,9
737,5
738,1
739,0
740,2
741,7
742,9
743,7
744,1
745,7
746,6
747,5
748,4
749,3
750,9
751,0
752,9
753,0
754,4
755,4
756,6
757,8
758,4
759,3
760,7
761,4
762,4
763,6
764,1
765,2
766,8
767,8
768,3
769,7
770,9
771,6
772,5
773,7
774,0
775,2
776,9
777,5
778,0
779,6
780,9
781,8
782,7
783,5
784,7
785,9
786,2
787,9
788,4
789,9
790,0
791,0
792,0
793,1
794,7
795,7
796,6
797,6
798,3
799,7
800,7
801,7
802,8
803,7
804,7
805,6
806,8
807,2
808,5
809,0
810,9
811,5
812,7
813,4
814,0
815,8
816,1
817,6
818,4
819,1
820,3
821,7
822,0
823,8
824,2
825,4
826,7
827,4
828,6
829,5
830,1
831,8
832,0
833,3
834,4
835,5
836,9
837,5
838,9
839,2
840,7
841,9
842,7
843,2
844,2
845,7
846,0
847,9
848,2
849,8
850,5
851,5
852,9
853,8
854,0
855,8
856,9
857,0
858,7
859,9
860,2
861,5
862,4
863,0
864,0
865,1
866,9
867,7
868,4
869,1
870,4
871,5
872,4
873,8
874,3
875,8
876,2
877,2
878,1
879,2
880,8
881,5
882,4
883,0
884,9
885,8
886,0
887,9
888,0
889,3
890,3
891,5
892,1
893,3
894,1
895,1
896,3
897,2
898,2
899,5
900,7
901,7
902,6
903,8
904,8
905,2
906,9
907,2
908,8
909,1
910,2
911,3
912,7
913,5
914,3
915,9
916,9
917,8
918,0
919,5
920,6
921,2
922,9
923,9
924,1
925,3
926,3
927,3
928,3
929,8
930,7
931,3
932,7
933,6
934,7
935,0
936,7
937,7
938,9
939,3
940,1
941,1
942,7
943,6
944,9
945,0
946,1
947,4
948,4
949,7
950,3
951,9
952,5
953,1
954,7
955,7
956,0
957,6
958,8
959,8
960,9
961,2
962,1
963,9
964,6
965,3
966,0
967,1
968,3
969,7
970,8
971,1
972,6
973,1
974,8
975,7
976,4
977,0
978,9
979,9
980,3
981,9
982,7
983,5
984,7
985,8
986,0
987,8
988,4
989,4
990,3
991,5
992,0
993,3
994,6
995,6
996,7
997,2
998,4
999,8
1000,3
1001,1
1002,0
1003,2
1004,0
1005,1
1006,6
1007,8
1008,7
1009,7
1010,8
1011,0
1012,6
1013,2
1014,2
1015,6
1016,5
1017,4
1018,8
1019,8
1020,8
1021,6
1022,0
1023,8
1024,4
1025,8
1026,3
1027,7
1028,8
1029,6
1030,9
1031,0
1032,6
1033,7
1034,3
1035,5
1036,4
1037,2
1038,2
1039,2
1040,5
1041,3
1042,9
1043,7
1044,8
1045,3
1046,5
1047,8
1048,0
1049,1
1050,0
1051,8
1052,9
1053,8
1054,1
1055,9
1056,9
1057,5
1058,1
1059,2
1060,8
1061,1
1062,4
1063,6
1064,1
1065,3
1066,6
1067,7
1068,0
1069,2
1070,3
1071,2
1072,6
1073,0
1074,0
1075,8
1076,7
1077,8
1078,0
1079,3
1080,6
1081,6
1082,7
1083,2
1084,3
1085,4
1086,4
1087,5
1088,7
1089,5
1090,0
1091,8
1092,6
1093,5
1094,8
1095,6
1096,3
1097,5
1098,9
1099,6
1100,8
1101,8
1102,8
1103,0
1104,8
1105,1
1106,5
1107,1
1108,2
1109,0
1110,3
1111,9
1112,3
1113,8
1114,9
1115,1
1116,4
1117,2
1118,7
1119,7
1120,7
1121,3
1122,8
1123,5
1124,2
1125,6
1126,8
1127,8
1128,6
1129,4
1130,4
1131,1
1132,4
1133,3
1134,9
1135,3
1136,9
1137,9
1138,7
1139,2
1140,6
1141,0
1142,8
1143,6
1144,1
1145,3
1146,7
1147,2
1148,4
1149,7
1150,7
1151,4
1152,7
1153,8
1154,3
1155,7
1156,7
1157,7
1158,1
1159,8
1160,8
1161,5
1162,7
1163,0
1164,8
1165,8
1166,5
1167,5
1168,0
1169,5
1170,3
1171,9
1172,1
1173,5
1174,0
1175,6
1176,6
1177,1
1178,6
1179,5
1180,5
1181,2
1182,3
1183,7
1184,7
1185,5
1186,4
1187,1
1188,8
1189,7
1190,1
1191,1
1192,6
1193,4
1194,2
1195,6
1196,5
1197,2
1198,7
1199,5
1200,8
1201,4
1202,1
1203,6
1204,6
