id,category
0,8
1,0
2,0
3,5
4,5
5,5
6,5
7,7
8,5
9,0
10,8
11,1
12,9
13,9
14,7
15,0
16,5
17,6
18,0
19,9
20,7
21,6
22,7
23,1
24,4
25,6
26,6
27,0
28,1
29,5
30,1
31,5
32,6
33,6
34,0
35,1
36,6
37,9
38,0
39,5
40,4
41,5
42,7
43,6
44,7
45,0
46,5
47,9
48,5
49,4
50,0
51,7
52,5
53,7
54,8
55,8
56,5
57,5
58,3
59,6
60,6
61,5
62,1
63,0
64,6
65,7
66,1
67,8
68,5
69,0
70,6
71,3
72,8
73,8
74,7
75,2
76,9
77,1
78,9
79,6
80,0
81,5
82,6
83,3
84,0
85,0
86,0
87,0
88,0
89,0
90,8
91,5
92,8
93,2
94,7
95,6
96,5
97,0
98,6
99,2
100,7
101,6
102,5
103,7
104,9
105,2
106,5
107,9
108,5
109,5
110,6
111,6
112,6
113,4
114,7
115,7
116,2
117,7
118,1
119,5
120,8
121,6
122,9
123,2
124,0
125,1
126,8
127,5
128,6
129,6
130,6
131,0
132,0
133,0
134,6
135,3
136,9
137,7
138,5
139,7
140,3
141,1
142,6
143,5
144,8
145,0
146,9
147,4
148,5
149,1
150,7
151,7
152,8
153,0
154,2
155,5
156,6
157,8
158,5
159,7
160,2
161,1
162,5
163,4
164,0
165,7
166,0
167,5
168,6
169,0
170,9
171,7
172,1
173,5
174,8
175,0
176,8
177,3
178,1
179,0
180,6
181,6
182,6
183,7
184,6
185,8
186,5
187,2
188,6
189,0
190,4
191,6
192,2
193,5
194,7
195,1
196,1
197,6
198,7
199,5
200,7
201,0
202,0
203,2
204,1
205,6
206,9
207,5
208,6
209,0
210,6
211,8
212,6
213,7
214,7
215,6
216,7
217,0
218,6
219,6
220,6
221,9
222,1
223,9
224,7
225,7
226,4
227,6
228,6
229,2
230,3
231,6
232,7
233,1
234,0
235,0
236,1
237,0
238,6
239,6
240,1
241,1
242,7
243,8
244,7
245,3
246,7
247,7
248,5
249,9
250,6
251,1
252,5
253,9
254,7
255,0
256,5
257,8
258,0
259,1
260,5
261,1
262,7
263,1
264,0
265,8
266,0
267,9
268,7
269,6
270,6
271,6
272,5
273,1
274,0
275,6
276,7
277,4
278,6
279,5
280,7
281,6
282,6
283,0
284,0
285,7
286,1
287,8
288,0
289,7
290,1
291,5
292,5
293,1
294,1
295,4
296,9
297,0
298,8
299,5
300,3
301,6
302,0
303,5
304,5
305,8
306,7
307,4
308,1
309,4
310,8
311,3
312,0
313,6
314,6
315,6
316,7
317,6
318,5
319,8
320,5
321,5
322,9
323,3
324,9
325,4
326,7
327,4
328,7
329,8
330,6
331,1
332,6
333,6
334,1
335,0
336,3
337,7
338,0
339,7
340,6
341,5
342,8
343,5
344,4
345,7
346,6
347,6
348,5
349,8
350,4
351,1
352,0
353,6
354,6
355,7
356,6
357,7
358,2
359,0
360,9
361,5
362,5
363,9
364,0
365,4
366,6
367,5
368,2
369,5
370,6
371,7
372,0
373,7
374,7
375,7
376,0
377,2
378,1
379,5
380,9
381,0
382,6
383,0
384,7
385,6
386,7
387,6
388,6
389,6
390,1
391,1
392,6
393,5
394,7
395,6
396,6
397,7
398,9
399,6
400,6
401,1
402,6
403,0
404,0
405,7
406,2
407,7
408,8
409,2
410,3
411,4
412,6
413,1
414,6
415,0
416,2
417,9
418,5
419,0
420,7
421,3
422,0
423,5
424,6
425,8
426,5
427,3
428,9
429,6
430,9
431,5
432,5
433,3
434,5
435,2
436,1
437,5
438,1
439,5
440,6
441,1
442,0
443,1
444,5
445,2
446,5
447,8
448,6
449,6
450,7
451,0
452,1
453,6
454,0
455,2
456,5
457,7
458,6
459,8
460,6
461,6
462,6
463,5
464,0
465,6
466,9
467,6
468,3
469,5
470,5
471,6
472,8
473,2
474,1
475,2
476,4
477,7
478,6
479,7
480,6
481,5
482,0
483,1
484,6
485,0
486,0
487,8
488,8
489,8
490,8
491,0
492,0
493,1
494,1
495,8
496,9
497,6
498,9
499,6
500,6
501,6
502,5
503,5
504,0
505,6
506,6
507,7
508,6
509,2
510,8
511,6
512,5
513,8
514,5
515,6
516,8
517,6
518,7
519,0
520,5
521,0
522,6
523,0
524,6
525,5
526,6
527,6
528,1
529,4
530,0
531,0
532,9
533,8
534,9
535,4
536,6
537,9
538,0
539,7
540,1
541,0
542,6
543,6
544,5
545,0
546,0
547,7
548,5
549,5
550,6
551,6
552,0
553,6
554,1
555,0
556,6
557,7
558,7
559,2
560,8
561,7
562,6
563,5
564,5
565,5
566,0
567,7
568,0
569,6
570,6
571,7
572,1
573,5
574,6
575,5
576,5
577,0
578,6
579,3
580,4
581,6
582,6
583,5
584,5
585,8
586,2
587,1
588,8
589,7
590,6
591,1
592,6
593,6
594,0
595,2
596,6
597,2
598,6
599,6
600,2
601,3
602,0
603,5
604,1
605,5
606,6
607,5
608,7
609,0
610,5
611,6
612,8
613,5
614,4
615,5
616,6
617,6
618,0
619,6
620,7
621,4
622,1
623,0
624,6
625,8
626,6
627,7
628,4
629,5
630,1
631,7
632,5
633,3
634,5
635,6
636,0
637,6
638,0
639,9
640,7
641,3
642,8
643,5
644,9
645,6
646,5
647,6
648,3
649,7
650,6
651,0
652,6
653,4
654,9
655,7
656,0
657,1
658,7
659,9
660,0
661,2
662,7
663,5
664,9
665,0
666,5
667,2
668,0
669,4
670,6
671,3
672,5
673,6
674,9
675,6
676,6
677,5
678,6
679,7
680,7
681,5
682,0
683,5
684,6
685,6
686,1
687,5
688,6
689,4
690,3
691,0
692,8
693,7
694,0
695,6
696,0
697,1
698,7
699,7
700,6
701,6
702,6
703,7
704,7
705,5
706,8
707,5
708,0
709,8
710,7
711,8
712,0
713,7
714,5
715,1
716,3
717,7
718,2
719,0
720,7
721,8
722,8
723,1
724,0
725,5
726,5
727,5
728,6
729,6
730,1
731,6
732,6
733,6
734,4
735,6
736,9
737,6
738,1
739,3
740,9
741,5
742,9
743,7
744,6
745,4
746,5
747,6
748,2
749,3
750,0
751,8
752,6
753,6
754,4
755,9
756,9
757,0
758,4
759,1
760,7
761,6
762,2
763,0
764,0
765,4
766,7
767,0
768,7
769,7
770,9
771,9
