id,category
0,8
1,3
2,3
3,3
4,4
5,2
6,6
7,6
8,5
9,1
10,8
11,9
12,5
13,0
14,9
15,8
16,5
17,9
18,3
19,7
20,7
21,3
22,0
23,1
24,4
25,6
26,4
27,3
28,1
29,6
30,6
31,5
32,6
33,8
34,9
35,5
36,3
37,9
38,3
39,5
40,4
41,6
42,8
43,2
44,1
45,8
46,6
47,0
48,7
49,6
50,9
51,7
52,5
53,6
54,3
55,9
56,5
57,6
58,3
59,4
60,4
61,4
62,5
63,9
64,8
65,8
66,1
67,8
68,6
69,9
70,3
71,1
72,3
73,3
74,9
75,4
76,9
77,1
78,6
79,3
80,3
81,6
82,1
83,3
84,3
85,9
86,0
87,3
88,3
89,9
90,9
91,6
92,3
93,6
94,6
95,3
96,2
97,3
98,3
99,9
100,8
101,4
102,6
103,2
104,1
105,3
106,5
107,6
108,3
109,5
110,5
111,5
112,2
113,3
114,9
115,4
116,3
117,9
118,6
119,5
120,3
121,6
122,8
123,4
124,9
125,1
126,8
127,1
128,8
129,8
130,4
131,3
132,9
133,0
134,8
135,2
136,8
137,7
138,6
139,1
140,3
141,3
142,3
143,5
144,2
145,3
146,6
147,6
148,5
149,5
150,3
151,2
152,6
153,3
154,8
155,5
156,3
157,8
158,5
159,0
160,0
161,1
162,5
163,6
164,9
165,9
166,3
167,6
168,5
169,9
170,3
171,7
172,1
173,6
174,8
175,9
176,8
177,5
178,3
179,9
180,3
181,8
182,6
183,1
184,3
185,7
186,6
187,8
188,3
189,0
190,4
191,9
192,6
193,5
194,5
195,6
196,8
197,3
198,0
199,5
200,8
201,9
202,8
203,0
204,1
205,3
206,6
207,5
208,4
209,3
210,8
211,3
212,3
213,9
214,9
215,3
216,1
217,9
218,3
219,7
220,4
221,6
222,9
223,6
224,6
225,8
226,6
227,3
228,3
229,2
230,2
231,1
232,1
233,0
234,3
235,0
236,6
237,3
238,3
239,4
240,1
241,8
242,9
243,3
244,8
245,2
246,5
247,3
248,5
249,6
250,8
251,5
252,8
253,6
254,8
255,9
256,6
257,3
258,3
259,5
260,6
261,6
262,0
263,2
264,0
265,3
266,3
267,0
268,7
269,3
270,5
271,3
272,5
273,6
274,9
275,5
276,9
277,4
278,4
279,5
280,9
281,5
282,3
283,1
284,9
285,9
286,8
287,9
288,7
289,9
290,1
291,6
292,5
293,1
294,1
295,4
296,6
297,0
298,8
299,6
300,6
301,4
302,0
303,0
304,5
305,3
306,0
307,0
308,1
309,6
310,1
311,6
312,3
313,3
314,3
315,8
316,2
317,6
318,6
319,3
320,5
321,5
322,2
323,5
324,6
325,7
326,7
327,4
328,0
329,8
330,6
331,3
332,6
333,6
334,7
335,6
336,3
337,9
338,3
339,9
340,6
341,5
342,8
343,5
344,9
345,6
346,8
347,5
348,5
349,9
350,9
351,1
352,9
353,3
354,3
355,2
356,5
357,9
358,1
359,3
360,7
361,7
362,3
363,9
364,9
365,3
366,5
367,1
368,0
369,5
370,3
371,3
372,3
373,8
374,8
375,7
376,3
377,9
378,0
379,6
380,6
381,9
382,3
383,9
384,7
385,3
386,0
387,6
388,8
389,2
390,3
391,8
392,4
393,5
394,2
395,6
396,5
397,8
398,9
399,9
400,3
401,1
402,3
403,9
404,9
405,6
406,0
407,8
408,8
409,8
410,3
411,3
412,5
413,2
414,1
415,1
416,9
417,1
418,5
419,7
420,6
421,5
422,3
423,5
424,3
425,3
426,5
427,8
428,6
429,4
430,3
431,3
432,3
433,0
434,3
435,7
436,9
437,6
438,6
439,5
440,6
441,0
442,1
443,9
444,8
445,4
446,3
447,3
448,3
449,8
450,2
451,3
452,7
453,3
454,9
455,5
456,6
457,2
458,4
459,9
460,0
461,7
462,1
463,6
464,9
465,4
466,4
467,3
468,4
469,5
470,6
471,5
472,8
473,8
474,8
475,7
476,2
477,7
478,6
479,4
480,1
481,5
482,3
483,1
484,2
485,9
486,9
487,1
488,3
489,8
490,0
491,6
492,3
493,1
494,1
495,9
496,6
497,5
498,0
499,3
500,3
501,6
502,6
503,6
504,1
505,3
506,1
507,0
508,3
509,6
510,8
511,6
512,6
513,8
514,5
515,8
516,3
517,9
518,0
519,9
520,7
521,4
522,3
523,9
524,9
525,5
526,5
527,5
528,0
529,6
530,9
531,3
532,6
533,3
534,6
535,6
536,4
537,5
538,9
539,9
540,1
541,3
542,3
543,2
544,5
545,9
546,3
547,5
548,6
549,5
550,5
551,1
552,9
553,5
554,5
555,9
556,6
557,5
558,8
559,5
560,1
561,6
562,0
563,6
564,5
565,5
566,9
567,9
568,6
569,4
570,6
571,9
572,9
573,6
574,8
575,5
576,1
577,8
578,3
579,3
580,7
581,8
582,0
583,2
584,0
585,9
586,2
587,7
588,3
589,9
590,3
591,1
592,2
593,6
594,8
595,1
596,9
597,2
598,4
599,6
600,4
601,9
602,8
603,5
604,1
605,6
606,9
607,6
608,5
609,9
610,6
611,3
612,8
613,3
614,6
615,5
616,0
617,6
618,7
619,1
620,7
621,3
622,1
623,3
624,4
625,9
626,9
627,6
628,4
629,7
630,1
631,6
632,6
633,3
634,0
635,8
636,9
637,4
638,3
639,4
640,2
641,6
642,3
643,5
644,7
645,9
646,6
647,3
648,3
649,7
650,4
651,1
652,8
653,4
654,3
655,0
656,3
657,1
658,6
659,6
660,1
661,4
662,7
663,6
664,5
665,1
666,5
667,0
668,9
669,6
670,5
671,5
672,5
673,3
674,6
675,8
676,2
677,9
678,3
679,8
680,9
681,6
682,9
683,2
684,3
685,6
686,1
687,5
688,6
689,9
690,2
691,3
692,3
693,7
694,3
695,4
696,3
697,6
698,7
699,2
700,7
701,0
702,5
703,8
704,8
705,5
706,3
707,5
708,3
709,9
710,8
711,3
712,3
713,7
714,5
715,1
716,5
717,9
718,8
719,3
720,6
721,1
722,1
723,1
724,9
725,0
726,6
727,0
728,2
729,5
730,6
731,3
732,8
733,6
734,0
735,4
736,0
737,3
738,1
739,8
740,2
741,7
742,9
743,7
744,4
745,4
746,6
747,8
748,4
749,5
750,9
751,0
752,9
753,8
754,2
755,0
756,6
757,3
758,3
759,1
760,9
761,3
762,7
763,9
764,3
765,4
766,3
767,7
768,8
769,7
770,6
771,6
772,5
773,5
774,3
775,2
776,2
777,5
778,0
779,4
780,9
781,1
782,4
783,5
784,7
785,9
786,3
787,9
788,4
789,6
790,8
791,3
792,3
793,6
794,7
795,5
796,6
797,5
798,6
799,7
800,9
801,7
802,8
803,4
804,7
805,6
806,9
807,6
808,4
809,5
810,3
811,4
812,7
813,4
814,3
815,3
816,7
817,0
818,0
819,6
820,8
821,3
822,9
823,1
824,4
825,6
826,7
827,6
828,5
829,4
830,1
831,5
832,3
833,5
834,4
835,8
836,9
837,4
838,9
839,3
840,4
841,8
842,8
843,2
844,7
845,6
846,0
847,9
848,6
849,6
850,5
851,1
852,1
853,9
854,3
855,3
856,3
857,3
858,2
859,6
860,0
861,6
862,7
863,0
864,4
865,1
866,9
867,8
868,9
869,8
870,4
871,5
872,6
873,8
874,6
875,3
876,6
877,2
878,1
879,8
880,3
881,5
882,3
883,4
884,9
885,3
886,1
887,1
888,5
889,6
890,8
891,6
892,8
893,3
894,1
895,1
896,5
897,4
898,2
899,5
900,6
901,0
902,6
903,5
904,3
905,3
906,9
907,6
908,9
909,5
910,5
911,8
912,9
913,4
914,6
915,1
916,9
917,3
918,0
919,4
920,3
921,1
922,3
923,8
924,1
925,6
926,3
927,2
928,3
929,3
930,7
931,2
932,5
933,6
934,3
935,3
936,3
937,2
938,1
939,8
940,1
941,1
942,7
943,6
944,8
945,4
946,1
947,5
948,5
949,6
950,3
951,9
952,6
953,1
954,4
955,3
956,8
957,6
958,8
959,3
960,6
961,4
962,4
963,1
964,5
965,3
966,9
967,1
968,1
969,3
970,9
971,6
972,6
973,6
974,9
975,3
976,6
977,8
978,9
979,9
980,6
981,9
982,5
983,6
984,5
985,1
986,8
987,1
988,2
989,3
990,1
991,6
992,1
993,8
994,5
995,1
996,3
997,5
998,5
999,3
1000,5
1001,6
1002,3
1003,4
1004,8
1005,1
1006,6
1007,8
1008,0
