id,category
0,3
1,8
2,8
3,1
4,4
5,5
6,5
7,6
8,5
9,1
10,0
11,9
12,4
13,8
14,5
15,8
16,7
17,0
18,8
19,0
20,9
21,0
22,8
23,0
24,4
25,9
26,6
27,0
28,1
29,6
30,1
31,5
32,2
33,1
34,9
35,1
36,6
37,9
38,1
39,3
40,0
41,6
42,2
43,6
44,1
45,8
46,5
47,9
48,5
49,6
50,9
51,1
52,3
53,6
54,8
55,8
56,5
57,8
58,7
59,5
60,7
61,6
62,3
63,0
64,3
65,7
66,8
67,4
68,3
69,1
70,2
71,3
72,5
73,2
74,0
75,2
76,9
77,1
78,1
79,1
80,8
81,3
82,6
83,3
84,0
85,7
86,0
87,5
88,0
89,8
90,9
91,6
92,8
93,6
94,7
95,2
96,6
97,0
98,5
99,2
100,4
101,3
102,4
103,9
104,1
105,1
106,6
107,3
108,0
109,8
110,6
111,5
112,2
113,3
114,9
115,3
116,0
117,5
118,9
119,5
120,8
121,4
122,9
123,2
124,0
125,9
126,9
127,3
128,3
129,9
130,4
131,1
132,9
133,7
134,1
135,2
136,1
137,7
138,6
139,1
140,3
141,2
142,1
143,5
144,2
145,0
146,0
147,4
148,5
149,7
150,6
151,7
152,8
153,3
154,3
155,5
156,5
157,9
158,4
159,1
160,0
161,1
162,2
163,2
164,0
165,7
166,8
167,4
168,5
169,8
170,9
171,7
172,1
173,8
174,8
175,9
176,8
177,6
178,3
179,9
180,1
181,7
182,6
183,1
184,5
185,0
186,5
187,3
188,0
189,0
190,1
191,5
192,2
193,5
194,5
195,2
196,9
197,0
198,4
199,7
200,6
201,9
202,0
203,2
204,5
205,5
206,8
207,4
208,7
209,0
210,8
211,1
212,0
213,7
214,6
215,4
216,7
217,9
218,5
219,7
220,5
221,6
222,9
223,6
224,1
225,9
226,9
227,2
228,3
229,1
230,6
231,9
232,1
233,7
234,8
235,0
236,4
237,8
238,3
239,4
240,1
241,3
242,4
243,8
244,8
245,2
246,7
247,2
248,5
249,9
250,6
251,5
252,8
253,9
254,6
255,7
256,0
257,8
258,0
259,5
260,0
261,3
262,2
263,2
264,0
265,8
266,8
267,2
268,7
269,7
270,5
271,6
272,5
273,3
274,9
275,5
276,9
277,4
278,6
279,8
280,9
281,7
282,3
283,1
284,0
285,1
286,8
287,9
288,0
289,9
290,1
291,6
292,4
293,8
294,1
295,4
296,5
297,0
298,8
299,6
300,6
301,6
302,0
303,0
304,6
305,1
306,4
307,9
308,9
309,6
310,8
311,9
312,0
313,0
314,3
315,0
316,1
317,2
318,5
319,3
320,5
321,3
322,2
323,7
324,6
325,9
326,7
327,4
328,1
329,5
330,2
331,1
332,5
333,6
334,2
335,6
336,2
337,8
338,0
339,0
340,6
341,9
342,8
343,0
344,9
345,3
346,7
347,2
348,8
349,3
350,9
351,1
352,8
353,7
354,3
355,7
356,5
357,9
358,1
359,1
360,9
361,5
362,8
363,8
364,9
365,3
366,6
367,8
368,8
369,2
370,1
371,0
372,0
373,7
374,2
375,7
376,9
377,0
378,3
379,6
380,2
381,9
382,0
383,9
384,2
385,8
386,7
387,6
388,2
389,4
390,8
391,1
392,4
393,7
394,3
395,6
396,6
397,1
398,9
399,9
400,9
401,1
402,2
403,0
404,9
405,4
406,2
407,8
408,9
409,0
410,3
411,1
412,1
413,4
414,0
415,1
416,0
417,9
418,7
419,1
420,4
421,7
422,4
423,2
424,3
425,8
426,3
427,3
428,6
429,6
430,5
431,5
432,5
433,6
434,5
435,7
436,5
437,5
438,3
439,5
440,2
441,1
442,9
443,9
444,5
445,7
446,5
447,0
448,3
449,8
450,9
451,1
452,7
453,2
454,9
455,2
456,2
457,7
458,6
459,8
460,5
461,9
462,1
463,2
464,1
465,6
466,6
467,8
468,4
469,5
470,6
471,5
472,0
473,2
474,5
475,2
476,4
477,0
478,5
479,5
480,9
481,5
482,0
483,1
484,2
485,1
486,0
487,1
488,3
489,0
490,0
491,4
492,4
493,7
494,8
495,0
496,0
497,3
498,9
499,0
500,6
501,6
502,4
503,4
504,1
505,2
506,1
507,7
508,1
509,4
510,0
511,6
512,6
513,1
514,3
515,8
516,3
517,9
518,9
519,0
520,9
521,7
522,9
523,8
524,9
525,8
526,1
527,0
528,0
529,4
530,0
531,9
532,7
533,0
534,6
535,6
536,6
537,5
538,9
539,9
540,4
541,9
542,6
543,5
544,7
545,9
546,5
547,5
548,3
549,5
550,3
551,1
552,1
553,6
554,1
555,8
556,6
557,4
558,3
559,5
560,8
561,4
562,2
563,6
564,5
565,8
566,2
567,3
568,6
569,6
570,6
571,7
572,1
573,3
574,3
575,3
576,8
577,8
578,9
579,5
580,2
581,7
582,8
583,2
584,0
585,0
586,2
587,7
588,8
589,5
590,6
591,9
592,5
593,6
594,8
595,1
596,6
597,5
598,1
599,6
600,2
601,0
602,0
603,2
604,1
605,5
606,3
607,5
608,5
609,9
610,6
611,3
612,8
613,0
614,4
615,5
616,6
617,7
618,6
619,1
620,7
621,5
622,1
623,4
624,7
625,0
626,9
627,6
628,7
629,7
630,9
631,7
632,6
633,9
634,7
635,2
636,9
637,3
638,8
639,2
640,5
641,6
642,0
643,4
644,0
645,1
646,8
647,5
648,3
649,4
650,6
651,9
652,7
653,6
654,1
655,0
656,9
657,1
658,6
659,1
660,1
661,7
662,7
663,6
664,5
665,1
666,5
667,8
668,9
669,4
670,5
671,3
672,7
673,6
674,3
675,9
676,4
677,9
678,3
679,7
680,9
681,6
682,9
683,2
684,9
685,3
686,1
687,5
688,3
689,6
690,3
691,0
692,9
693,7
694,8
695,5
696,0
697,6
698,7
699,7
700,7
701,8
702,6
703,1
704,1
705,2
706,3
707,5
708,1
709,9
710,7
711,8
712,0
713,7
714,5
715,1
716,5
717,7
718,7
719,8
720,9
721,8
722,1
723,1
724,0
725,8
726,9
727,5
728,6
729,7
730,6
731,2
732,7
733,9
734,3
735,4
736,8
737,0
738,1
739,5
740,1
741,7
742,9
743,7
744,2
745,4
746,6
747,3
748,4
749,3
750,9
751,0
752,9
753,0
754,4
755,4
756,6
757,0
758,4
759,3
760,7
761,4
762,7
763,7
764,0
765,2
766,2
767,9
768,3
769,7
770,9
771,6
772,3
773,7
774,0
775,2
776,9
777,5
778,0
779,3
780,9
781,8
782,7
783,5
784,7
785,9
786,2
787,9
788,4
789,9
790,0
791,2
792,0
793,1
794,7
795,5
796,4
797,6
798,3
799,7
800,7
801,7
802,8
803,7
804,7
805,6
806,9
807,6
808,4
809,0
810,5
811,3
812,7
813,4
814,0
815,8
816,1
817,6
818,4
819,1
820,3
821,7
822,0
823,8
824,2
825,4
826,7
827,3
828,3
829,5
830,1
831,8
832,0
833,3
834,4
835,5
836,9
837,3
838,9
839,2
840,7
841,1
842,7
843,2
844,1
845,7
846,0
847,9
848,0
849,8
850,5
851,5
852,9
853,9
854,1
855,8
856,8
857,8
858,7
859,9
860,7
861,5
862,7
863,0
864,0
865,1
866,9
867,7
868,4
869,1
870,1
871,5
872,4
873,8
874,3
875,8
876,2
877,2
878,1
879,7
880,8
881,5
882,0
883,0
884,9
885,8
886,0
887,9
888,0
889,3
890,3
891,5
892,1
893,3
894,1
895,1
896,3
897,2
898,2
899,5
900,7
901,7
902,6
903,5
904,0
905,2
906,8
907,6
908,8
909,0
910,4
911,3
912,7
913,7
914,6
915,9
916,7
917,8
918,0
919,5
920,6
921,1
922,9
923,9
924,1
925,5
926,6
927,3
928,2
929,8
930,2
931,3
932,7
933,6
934,3
935,0
936,7
937,4
938,9
939,5
940,1
941,7
942,7
943,4
944,9
945,0
946,1
947,4
948,4
949,3
950,3
951,1
952,5
953,1
954,6
955,7
956,8
957,6
958,4
959,8
960,6
961,4
962,1
963,1
964,6
965,3
966,0
967,1
968,3
969,8
970,9
971,1
972,6
973,6
974,4
975,4
976,4
977,0
978,9
979,9
980,3
981,3
982,1
983,0
984,7
985,1
986,8
987,1
988,2
989,3
990,3
991,5
992,0
993,8
994,5
995,1
996,4
997,5
998,4
999,8
1000,0
1001,6
1002,0
1003,2
1004,0
1005,1
1006,7
1007,8
1008,4
1009,0
1010,8
1011,0
1012,5
1013,2
1014,2
1015,6
1016,5
1017,4
1018,8
1019,8
1020,0
1021,6
1022,0
1023,3
1024,4
1025,8
1026,3
1027,7
1028,3
1029,6
1030,9
1031,0
1032,6
1033,7
1034,3
1035,5
1036,4
1037,2
1038,2
1039,8
1040,5
1041,7
1042,8
1043,7
1044,0
1045,1
1046,5
1047,8
1048,0
1049,7
1050,5
1051,8
1052,8
1053,8
1054,1
1055,9
1056,9
1057,7
1058,3
1059,2
1060,9
1061,1
1062,4
1063,6
1064,1
1065,3
1066,1
1067,4
1068,0
1069,2
1070,3
1071,2
1072,8
1073,7
1074,0
1075,8
1076,2
1077,8
1078,0
1079,3
1080,6
1081,6
1082,7
1083,2
1084,3
1085,4
1086,4
1087,4
1088,7
1089,4
1090,0
1091,8
1092,3
1093,5
1094,8
1095,6
1096,3
1097,2
1098,9
1099,6
1100,2
1101,8
1102,8
1103,0
1104,6
1105,1
1106,5
1107,1
1108,2
1109,0
1110,1
1111,9
1112,5
1113,1
1114,9
1115,9
1116,4
1117,2
1118,7
1119,7
1120,3
1121,3
1122,8
1123,6
1124,5
1125,6
1126,8
1127,8
1128,6
1129,4
1130,4
1131,1
1132,4
1133,3
1134,9
1135,3
1136,9
1137,1
1138,5
1139,8
1140,6
1141,8
1142,8
1143,6
1144,1
1145,5
1146,4
1147,6
1148,4
1149,5
1150,7
1151,4
1152,8
1153,8
1154,3
1155,7
1156,7
1157,7
1158,1
1159,8
1160,8
1161,5
1162,7
1163,4
1164,8
1165,1
1166,3
1167,3
1168,0
1169,5
1170,3
1171,9
1172,1
1173,5
1174,0
1175,9
1176,3
1177,1
1178,2
1179,3
1180,5
1181,3
1182,3
1183,7
1184,1
1185,5
1186,4
1187,1
1188,8
1189,7
1190,1
1191,1
1192,7
1193,4
1194,2
1195,6
1196,5
1197,2
1198,7
1199,5
1200,8
1201,4
1202,3
1203,4
1204,6
