id,category
0,3
1,8
2,8
3,7
4,4
5,5
6,5
7,2
8,0
9,1
10,0
11,9
12,2
13,1
14,2
15,8
16,3
17,0
18,8
19,4
20,9
21,8
22,2
23,0
24,4
25,6
26,3
27,0
28,9
29,6
30,1
31,5
32,2
33,6
34,7
35,1
36,6
37,9
38,9
39,5
40,0
41,5
42,2
43,6
44,7
45,9
46,3
47,9
48,5
49,2
50,9
51,7
52,3
53,5
54,8
55,8
56,5
57,3
58,7
59,5
60,7
61,3
62,2
63,0
64,3
65,5
66,8
67,8
68,3
69,9
70,8
71,1
72,8
73,2
74,0
75,4
76,8
77,1
78,1
79,9
80,8
81,1
82,6
83,3
84,0
85,7
86,0
87,0
88,0
89,8
90,9
91,5
92,8
93,6
94,7
95,3
96,5
97,0
98,0
99,2
100,4
101,1
102,1
103,6
104,1
105,9
106,5
107,3
108,8
109,5
110,6
111,5
112,2
113,7
114,9
115,1
116,8
117,2
118,1
119,5
120,8
121,5
122,1
123,2
124,0
125,3
126,8
127,1
128,3
129,0
130,4
131,0
132,9
133,7
134,4
135,1
136,9
137,7
138,6
139,0
140,4
141,2
142,0
143,5
144,2
145,0
146,2
147,5
148,5
149,5
150,6
151,7
152,1
153,4
154,3
155,5
156,5
157,9
158,3
159,0
160,0
161,1
162,0
163,2
164,0
165,7
166,8
167,3
168,5
169,8
170,9
171,7
172,0
173,8
174,1
175,9
176,8
177,5
178,1
179,9
180,8
181,7
182,6
183,2
184,6
185,0
186,5
187,6
188,7
189,8
190,8
191,3
192,2
193,5
194,5
195,2
196,9
197,0
198,4
199,0
200,6
201,9
202,8
203,2
204,1
205,0
206,8
207,5
208,7
209,0
210,6
211,1
212,0
213,7
214,6
215,0
216,7
217,9
218,0
219,7
220,5
221,6
222,9
223,1
224,1
225,9
226,6
227,4
228,0
229,2
230,5
231,9
232,1
233,7
234,0
235,0
236,2
237,8
238,6
239,4
240,1
241,3
242,2
243,8
244,8
245,2
246,4
247,0
248,5
249,1
250,7
251,5
252,1
253,9
254,6
255,0
256,1
257,0
258,0
259,5
260,5
261,1
262,2
263,2
264,0
265,8
266,8
267,3
268,7
269,0
270,5
271,9
272,5
273,3
274,8
275,5
276,9
277,4
278,6
279,1
280,1
281,7
282,3
283,9
284,0
285,1
286,8
287,8
288,2
289,9
290,1
291,6
292,5
293,1
294,3
295,2
296,5
297,0
298,8
299,2
300,3
301,6
302,2
303,8
304,5
305,0
306,2
307,9
308,1
309,5
310,8
311,3
312,8
313,0
314,3
315,0
316,1
317,6
318,5
319,5
320,5
321,3
322,3
323,5
324,3
325,9
326,7
327,4
328,9
329,5
330,2
331,9
332,6
333,6
334,2
335,6
336,2
337,8
338,0
339,9
340,7
341,5
342,8
343,5
344,9
345,3
346,7
347,5
348,8
349,8
350,9
351,1
352,8
353,7
354,3
355,7
356,5
357,9
358,1
359,8
360,9
361,5
362,8
363,7
364,9
365,7
366,6
367,1
368,4
369,5
370,6
371,0
372,0
373,7
374,2
375,7
376,0
377,2
378,3
379,6
380,2
381,9
382,0
383,9
384,2
385,8
386,7
387,2
388,2
389,4
390,1
391,8
392,6
393,1
394,2
395,6
396,2
397,5
398,9
399,9
400,6
401,1
402,6
403,0
404,9
405,5
406,0
407,8
408,8
409,0
410,3
411,0
412,7
413,4
414,0
415,0
416,0
417,1
418,5
419,7
420,2
421,5
422,0
423,3
424,5
425,8
426,5
427,3
428,6
429,6
430,9
431,5
432,5
433,3
434,2
435,2
436,5
437,5
438,3
439,5
440,6
441,1
442,9
443,9
444,5
445,2
446,8
447,0
448,3
449,8
450,9
451,6
452,8
453,3
454,9
455,2
456,2
457,7
458,4
459,8
460,5
461,6
462,1
463,5
464,0
465,6
466,1
467,6
468,4
469,5
470,5
471,5
472,0
473,2
474,5
475,2
476,4
477,7
478,5
479,2
480,9
481,5
482,8
483,1
484,2
485,1
486,9
487,1
488,8
489,0
490,0
491,7
492,8
493,1
494,1
495,8
496,9
497,3
498,9
499,0
500,6
501,6
502,5
503,4
504,1
505,8
506,4
507,7
508,8
509,2
510,0
511,6
512,3
513,9
514,3
515,6
516,8
517,9
518,2
519,0
520,1
521,7
522,8
523,9
524,8
525,5
526,1
527,8
528,0
529,4
530,0
531,8
532,1
533,0
534,1
535,6
536,6
537,5
538,0
539,9
540,9
541,9
542,6
543,6
544,5
545,9
546,0
547,5
548,3
549,5
550,3
551,2
552,9
553,3
554,9
555,8
556,6
557,5
558,3
559,5
560,0
561,7
562,2
563,6
564,2
565,8
566,8
567,3
568,6
569,5
570,6
571,7
572,1
573,3
574,7
575,3
576,8
577,8
578,9
579,3
580,2
581,7
582,8
583,2
584,5
585,0
586,2
587,1
588,8
589,5
590,6
591,9
592,4
593,6
594,0
595,1
596,6
597,5
598,1
599,6
600,2
601,0
602,0
603,5
604,1
605,5
606,8
607,5
608,5
609,9
610,2
611,0
612,8
613,0
614,3
615,5
616,6
617,3
618,8
619,1
620,7
621,0
622,1
623,7
624,2
625,0
626,9
627,2
628,7
629,5
630,9
631,2
632,6
633,0
634,7
635,6
636,9
637,3
638,8
639,2
640,5
641,2
642,0
643,5
644,9
645,9
646,5
647,5
648,0
649,4
650,6
651,9
652,7
653,6
654,2
655,0
656,0
657,1
658,2
659,6
660,9
661,5
662,7
663,5
664,5
665,1
666,5
667,8
668,9
669,2
670,5
671,5
672,7
673,6
674,2
675,9
676,3
677,9
678,6
679,6
680,9
681,5
682,8
683,2
684,9
685,3
686,1
687,5
688,3
689,6
690,3
691,0
692,9
693,7
694,0
695,5
696,0
697,2
698,7
699,0
700,7
701,0
702,3
703,8
704,1
705,5
706,8
707,5
708,0
709,9
710,4
711,8
712,0
713,7
714,5
715,1
716,5
717,7
718,7
719,2
720,2
721,0
722,1
723,1
724,8
725,8
726,5
727,5
728,2
729,7
730,6
731,6
732,7
733,6
734,5
735,6
736,9
737,0
738,1
739,5
740,1
741,7
742,9
743,7
744,4
745,5
746,5
747,3
748,4
749,5
750,9
751,0
752,9
753,0
754,2
755,4
756,6
757,0
758,4
759,1
760,8
761,4
762,4
763,7
764,0
765,2
766,2
767,8
768,3
769,7
770,1
771,6
772,3
773,7
774,0
775,2
776,2
777,5
778,0
779,3
780,9
781,1
782,2
783,5
784,7
785,9
786,6
787,9
788,4
789,8
790,0
791,2
792,0
793,6
794,7
795,5
796,3
797,6
798,5
799,7
800,7
801,7
802,8
803,9
804,7
805,2
806,0
807,2
808,5
809,0
810,0
811,6
812,7
813,4
814,0
815,8
816,3
817,5
818,4
819,1
820,3
821,7
822,0
823,8
824,5
825,4
826,7
827,4
828,6
829,5
830,1
831,1
832,0
833,3
834,4
835,1
836,9
837,5
838,9
839,2
840,7
841,2
842,7
843,8
844,1
845,7
846,5
847,9
848,7
849,2
850,5
851,8
852,9
853,2
854,8
855,9
856,8
857,8
858,5
859,2
860,2
861,1
862,2
863,0
864,0
865,1
866,6
867,0
868,0
869,1
870,4
871,5
872,2
873,8
874,3
875,8
876,2
877,2
878,1
879,6
880,8
881,5
882,0
883,0
884,8
885,8
886,0
887,9
888,0
889,4
890,3
891,5
892,6
893,8
894,1
895,1
896,3
897,2
898,2
899,5
900,5
901,5
902,6
903,1
904,0
905,7
906,8
907,2
908,8
909,5
910,4
911,3
912,7
913,5
914,3
915,9
916,7
917,8
918,0
919,5
920,6
921,0
922,3
923,9
924,1
925,1
926,3
927,3
928,7
929,0
930,2
931,2
932,5
933,9
934,3
935,0
936,7
937,7
938,9
939,1
940,1
941,1
942,7
943,4
944,8
945,0
946,8
947,5
948,2
949,3
950,6
951,9
952,5
953,1
954,7
955,7
956,8
957,6
958,8
959,8
960,9
961,3
962,7
963,1
964,5
965,3
966,0
967,9
968,1
969,7
970,9
971,1
972,2
973,1
974,8
975,7
976,1
977,0
978,1
979,9
980,3
981,0
982,1
983,5
984,1
985,8
986,8
987,1
988,4
989,0
990,1
991,3
992,8
993,3
994,5
995,5
996,7
997,2
998,5
999,8
1000,0
1001,2
1002,0
1003,2
1004,0
1005,1
1006,6
1007,2
1008,3
1009,7
1010,8
1011,0
1012,5
1013,8
1014,2
1015,6
1016,1
1017,3
1018,8
1019,8
1020,2
1021,5
1022,0
1023,8
1024,3
1025,8
1026,3
1027,7
1028,0
1029,6
1030,1
1031,0
1032,2
1033,7
1034,3
1035,5
1036,4
1037,2
1038,0
1039,2
1040,5
1041,0
1042,3
1043,7
1044,0
1045,1
1046,5
1047,8
1048,0
1049,6
1050,0
1051,8
1052,1
1053,5
1054,1
1055,9
1056,6
1057,7
1058,3
1059,2
1060,9
1061,4
1062,4
1063,5
1064,1
1065,3
1066,1
1067,7
1068,0
1069,3
1070,3
1071,2
1072,3
1073,7
1074,4
1075,8
1076,8
1077,8
1078,0
1079,3
1080,6
1081,3
1082,0
1083,2
1084,6
1085,4
1086,4
1087,6
1088,7
1089,4
1090,0
1091,8
1092,6
1093,5
1094,1
1095,6
1096,0
1097,5
1098,1
1099,6
1100,8
1101,0
1102,8
1103,0
1104,6
1105,1
1106,6
1107,4
1108,2
1109,8
1110,6
1111,0
1112,5
1113,0
1114,9
1115,9
1116,6
1117,5
1118,7
1119,4
1120,2
1121,9
1122,8
1123,6
1124,2
1125,3
1126,8
1127,8
1128,3
1129,4
1130,4
1131,9
1132,4
1133,1
1134,9
1135,3
1136,9
1137,9
1138,5
1139,0
1140,3
1141,0
1142,8
1143,6
1144,9
1145,5
1146,2
1147,6
1148,5
1149,7
1150,7
1151,4
1152,8
1153,8
1154,3
1155,7
1156,2
1157,4
1158,1
1159,0
1160,8
1161,5
1162,7
1163,0
1164,8
1165,1
1166,3
1167,5
1168,7
1169,2
1170,3
1171,9
1172,8
1173,0
1174,0
1175,6
1176,3
1177,1
1178,2
1179,5
1180,2
1181,2
1182,3
1183,0
1184,2
1185,8
1186,4
1187,1
1188,8
1189,7
1190,1
1191,1
1192,7
1193,4
1194,0
1195,6
1196,2
1197,0
1198,7
1199,5
1200,8
1201,4
1202,1
1203,2
1204,3
